 110000 北京
 150726 021200 内蒙古自治区-呼伦贝尔市-新巴尔虎左旗
 150727 021300 内蒙古自治区-呼伦贝尔市-新巴尔虎右旗
 150781 021400 内蒙古自治区-呼伦贝尔市-满洲里市
 150782 022150 内蒙古自治区-呼伦贝尔市-牙克石市
 150783 162650 内蒙古自治区-呼伦贝尔市-扎兰屯市
 150784 022250 内蒙古自治区-呼伦贝尔市-额尔古纳市
 150785 022350 内蒙古自治区-呼伦贝尔市-根河市
 150800 015000 内蒙古自治区-巴彦淖尔市
 150802 015000 内蒙古自治区-巴彦淖尔市-临河区
 150821 015100 内蒙古自治区-巴彦淖尔市-五原县
 150822 015200 内蒙古自治区-巴彦淖尔市-磴口县
 150823 014400 内蒙古自治区-巴彦淖尔市-乌拉特前旗
 150824 015300 内蒙古自治区-巴彦淖尔市-乌拉特中旗
 150825 015500 内蒙古自治区-巴彦淖尔市-乌拉特后旗
 150826 015400 内蒙古自治区-巴彦淖尔市-杭锦后旗
 150900 012000 内蒙古自治区-乌兰察布市
 150902 012000 内蒙古自治区-乌兰察布市-集宁区
 150921 012300 内蒙古自治区-乌兰察布市-卓资县
 150922 013350 内蒙古自治区-乌兰察布市-化德县
 150923 013400 内蒙古自治区-乌兰察布市-商都县
 150924 013650 内蒙古自治区-乌兰察布市-兴和县
 150925 013750 内蒙古自治区-乌兰察布市-凉城县
 150926 012200 内蒙古自治区-乌兰察布市-察哈尔右翼前旗
 150927 013500 内蒙古自治区-乌兰察布市-察哈尔右翼中旗
 150928 012400 内蒙古自治区-乌兰察布市-察哈尔右翼后旗
 150929 011800 内蒙古自治区-乌兰察布市-四子王旗
 150981 012100 内蒙古自治区-乌兰察布市-丰镇市
 152200 137400 内蒙古自治区-兴安盟
 152201 137400 内蒙古自治区-兴安盟-乌兰浩特市
 152202 137400 内蒙古自治区-兴安盟-阿尔山市
 152221 137400 内蒙古自治区-兴安盟-科尔沁右翼前旗
 152222 029400 内蒙古自治区-兴安盟-科尔沁右翼中旗
 152223 137600 内蒙古自治区-兴安盟-扎赉特旗
 152224 137500 内蒙古自治区-兴安盟-突泉县
 152500 026000 内蒙古自治区-锡林郭勒盟
 152501 012600 内蒙古自治区-锡林郭勒盟-二连浩特市
 152502 026000 内蒙古自治区-锡林郭勒盟-锡林浩特市
 152522 011400 内蒙古自治区-锡林郭勒盟-阿巴嘎旗
 152523 011300 内蒙古自治区-锡林郭勒盟-苏尼特左旗
 152524 011200 内蒙古自治区-锡林郭勒盟-苏尼特右旗
 152525 026300 内蒙古自治区-锡林郭勒盟-东乌珠穆沁旗
 152526 026200 内蒙古自治区-锡林郭勒盟-西乌珠穆沁旗
 152527 027000 内蒙古自治区-锡林郭勒盟-太仆寺旗
 152528 013250 内蒙古自治区-锡林郭勒盟-镶黄旗
 152529 013800 内蒙古自治区-锡林郭勒盟-正镶白旗
 152530 027200 内蒙古自治区-锡林郭勒盟-正蓝旗
 152531 027300 内蒙古自治区-锡林郭勒盟-多伦县
 152900 750300 内蒙古自治区-阿拉善盟
 152921 750300 内蒙古自治区-阿拉善盟-阿拉善左旗
 152922 737300 内蒙古自治区-阿拉善盟-阿拉善右旗
 152923 735400 内蒙古自治区-阿拉善盟-额济纳旗
 210000 辽宁省
 210100 110000 辽宁省-沈阳市
 210102 110000 辽宁省-沈阳市-和平区
 210103 110000 辽宁省-沈阳市-沈河区
 210104 110000 辽宁省-沈阳市-大东区
 210105 110000 辽宁省-沈阳市-皇姑区
 210106 110020 辽宁省-沈阳市-铁西区
