PdId,IncidntNum,Incident Code,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,location,SF Find Neighborhoods 2 2,Current Police Districts 2 2,Current Supervisor Districts 2 2,Analysis Neighborhoods 2 2,DELETE - Fire Prevention Districts 2 2,DELETE - Police Districts 2 2,DELETE - Supervisor Districts 2 2,DELETE - Zip Codes 2 2,DELETE - Neighborhoods 2 2,DELETE - 2017 Fix It Zones 2 2,Civic Center Harm Reduction Project Boundary 2 2,Fix It Zones as of 2017-11-06  2 2,DELETE - HSOC Zones 2 2,Fix It Zones as of 2018-02-07 2 2,"CBD, BID and GBD Boundaries as of 2017 2 2","Areas of Vulnerability, 2016 2 2",Central Market/Tenderloin Boundary 2 2,Central Market/Tenderloin Boundary Polygon - Updated 2 2,HSOC Zones as of 2018-06-05 2 2,OWED Public Spaces 2 2,Neighborhoods 2
4027084363010,040270843,63010,WARRANTS,WARRANT ARREST,Sunday,03/07/2004,17:45,CENTRAL,"ARREST, BOOKED",600 Block of LEAVENWORTH ST,-122.414971182724,37.7869870915274,POINT (-122.41497118272402 37.7869870915274),50,6,10,36,13,1,9,28858,36,,,,,,,2,,,,,50
7601064906244,076010649,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,02/13/2007,23:00,INGLESIDE,NONE,500 Block of 29TH ST,-122.432225949052,37.7433073139011,POINT (-122.43222594905201 37.7433073139011),84,9,5,22,2,7,5,63,22,,,,,,,1,,,,,84
10002911816630,100029118,16630,DRUG/NARCOTIC,POSSESSION OF METHADONE,Saturday,01/09/2010,17:22,SOUTHERN,"ARREST, BOOKED",0 Block of UNITEDNATIONS PZ,-122.414317857881,37.7799444052046,POINT (-122.414317857881 37.7799444052046),21,5,10,36,7,10,9,28852,36,3,1,3,1,3,6,2,1,1,1,39,21
4109621009110,041096210,09110,FRAUD,"FORGERY, CREDIT CARD",Tuesday,08/31/2004,10:00,NORTHERN,NONE,LINDEN ST / BUCHANAN ST,-122.427822418257,37.7757866700696,POINT (-122.427822418257 37.7757866700696),22,4,11,9,7,9,11,28852,10,,,,,,,1,,,,,22
9010375564020,090103755,64020,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,01/28/2009,18:41,TENDERLOIN,PSYCHOPATHIC CASE,100 Block of GOLDEN GATE AV,-122.413047972078,37.7819119628298,POINT (-122.41304797207799 37.7819119628298),20,5,10,36,7,10,9,28852,36,17,1,18,1,18,6,2,1,1,1,,20
5133997506114,051339975,06114,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Saturday,11/26/2005,18:00,SOUTHERN,NOT PROSECUTED,5TH ST / MARKET ST,-122.408068345155,37.7839916767932,POINT (-122.408068345155 37.7839916767932),19,5,10,36,12,2,9,28853,36,17,1,18,,18,7,2,1,1,,35,19
11612743128150,116127431,28150,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,10/04/2011,13:00,MISSION,NONE,100 Block of CLIPPER ST,-122.428338109086,37.7492802306217,POINT (-122.42833810908598 37.74928023062171),84,3,5,22,2,4,5,28862,22,,,,,,,1,,,,,84
5104554212100,051045542,12100,WEAPON LAWS,POSS OF LOADED FIREARM,Thursday,09/15/2005,12:00,BAYVIEW,"ARREST, BOOKED",800 Block of WISCONSIN ST,-122.398937121824,37.7565542061561,POINT (-122.398937121824 37.7565542061561),54,2,9,26,10,3,8,28856,29,,,,,,,2,,,,,54
7607002906244,076070029,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,09/20/2007,21:00,NORTHERN,NONE,0 Block of HAIGHT ST,-122.42212385206,37.7731031677657,POINT (-122.42212385206001 37.7731031677657),26,1,11,9,7,2,11,28852,10,,1,,1,,,1,,,1,,26
9604936106244,096049361,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,07/04/2009,16:30,NORTHERN,NONE,GOLDEN GATE AV / FRANKLIN ST,-122.422090267887,37.7808219708329,POINT (-122.42209026788701 37.7808219708329),100,4,11,39,7,9,11,28852,41,,1,,1,,8,2,,,1,,100
7025343364070,070253433,64070,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,03/11/2007,06:40,SOUTHERN,NONE,300 Block of KING ST,-122.395021745914,37.7753128522284,POINT (-122.395021745914 37.7753128522284),34,1,10,4,6,2,9,310,20,,,,,,,1,,,,,34
