Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2020-035238,12468417251,12/17/2019 12:00:00 AM,,01/29/2020 12:23:19 PM,A,PROPERTY,FRAUD OFFENSES,Impersonation,26C,E,E,E1,CAPITOL HILL,1XX BLOCK OF MELROSE AVE E,-122.327853786,47.61903867
2020-035376,12465542650,01/29/2020 11:58:00 AM,01/29/2020 12:15:00 PM,01/29/2020 12:16:49 PM,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,N,U,U3,SANDPOINT,80XX BLOCK OF CREST DR NE,-122.274140565,47.68736239
2020-035326,12465447843,10/19/2019 12:00:00 AM,01/29/2020 11:59:00 PM,01/29/2020 12:14:05 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,O,O3,MID BEACON HILL,58XX BLOCK OF 16TH AVE S,-122.312324244,47.55059186
2020-901421,12464997889,11/27/2019 10:19:00 AM,11/27/2019 10:40:00 AM,01/29/2020 12:12:39 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K2,PIONEER SQUARE,S KING ST / 2ND AVE S,-122.331580821,47.59828765
2020-901418,12464984451,01/28/2020 01:00:00 AM,01/28/2020 01:15:00 PM,01/29/2020 12:12:24 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,N,N1,BITTERLAKE,115XX BLOCK OF 3RD AVE NW,-122.360878336,47.71327157
2020-901419,12464940281,01/27/2020 06:30:00 PM,01/27/2020 08:30:00 PM,01/29/2020 12:12:15 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,D,D2,SLU/CASCADE,21XX BLOCK OF WESTLAKE AVE,-122.338137219,47.61711857
2020-901415,12464474070,12/05/2019 04:25:00 PM,12/05/2019 04:40:00 PM,01/29/2020 12:05:00 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,L,L2,NORTHGATE,4XX BLOCK OF NE NORTHGATE WAY,-122.324615158,47.7086028
2020-901413,12464333408,01/27/2020 06:00:00 PM,01/27/2020 06:20:00 PM,01/29/2020 12:02:55 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B3,WALLINGFORD,WALLINGFORD AVE N / N 46TH ST,-122.336425972,47.66212687
2020-901414,12464316605,01/26/2020 12:00:00 AM,01/27/2020 07:00:00 PM,01/29/2020 12:02:43 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,J,J1,GREENWOOD,3XX BLOCK OF NW 89TH ST,-122.362005575,47.6935203
2020-901412,12464296358,01/26/2020 02:00:00 AM,01/26/2020 08:00:00 AM,01/29/2020 12:02:15 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,M,M2,DOWNTOWN COMMERCIAL,8TH AVE / PIKE ST,-122.332244079,47.61207057
2020-901411,12463707118,01/25/2020 09:00:00 PM,01/26/2020 09:00:00 AM,01/29/2020 11:54:05 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R2,CLAREMONT/RAINIER VISTA,35XX BLOCK OF S OREGON ST,-122.288370356,47.56281944
2020-901410,12463707007,01/28/2020 12:50:00 PM,01/28/2020 12:50:00 PM,01/29/2020 11:53:59 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R2,CLAREMONT/RAINIER VISTA,35XX BLOCK OF S OREGON ST,-122.288370356,47.56281944
2020-901404,12463619439,01/28/2020 11:26:00 AM,01/28/2020 01:41:00 PM,01/29/2020 11:52:51 AM,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,W,D,D3,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.330420403,47.62024434
2020-901407,12463608875,01/27/2020 09:45:00 PM,01/28/2020 02:30:00 PM,01/29/2020 11:52:40 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R3,COLUMBIA CITY,39XX BLOCK OF S EDMUNDS ST,-122.282102069,47.5586471
2020-901406,12463578727,01/28/2020 12:00:00 AM,01/28/2020 11:00:00 AM,01/29/2020 11:52:31 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,Q,Q3,QUEEN ANNE,1XX BLOCK OF VALLEY ST,-122.353424674,47.62635868
2020-901409,12463572598,01/25/2020 10:00:00 PM,01/26/2020 10:56:00 AM,01/29/2020 11:52:25 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,J,J1,GREENWOOD,95XX BLOCK OF EVANSTON AVE N,-122.35125516,47.69873276
2020-901408,12463572440,01/28/2020 12:00:00 AM,01/28/2020 07:00:00 AM,01/29/2020 11:52:15 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q2,QUEEN ANNE,W FLORENTIA ST / 3RD AVE W,-122.360735161,47.64689712
2020-901399,12461441568,01/27/2020 11:10:00 PM,01/28/2020 12:10:00 AM,01/29/2020 11:22:53 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K2,PIONEER SQUARE,1XX BLOCK OF S WASHINGTON ST,-122.333852598,47.60088279
2020-901398,12461441101,01/28/2019 10:15:00 PM,01/28/2020 10:40:00 PM,01/29/2020 11:22:44 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U2,UNIVERSITY,47XX BLOCK OF BROOKLYN AVE NE,-122.31422406,47.66400406
2020-901400,12461427741,01/28/2020 04:10:00 PM,01/28/2020 05:10:00 PM,01/29/2020 11:22:34 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,K,K1,DOWNTOWN COMMERCIAL,11XX BLOCK OF 2ND AVE,-122.336107944,47.60622921
2020-901402,12461396882,01/27/2020 06:00:00 PM,01/28/2020 06:00:00 AM,01/29/2020 11:22:26 AM,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,N,J,J1,GREENWOOD,N 90TH ST / GREENWOOD AVE N,-122.355339494,47.69421686
2020-901401,12461393426,01/27/2020 06:00:00 PM,01/28/2020 06:00:00 AM,01/29/2020 11:22:14 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,J,J1,GREENWOOD,N 90TH ST / GREENWOOD AVE N,-122.355339494,47.69421686
2020-035185,12462172738,01/29/2020 06:00:00 AM,,01/29/2020 11:22:07 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,O,O1,SODO,15XX BLOCK OF 4TH AVE S,-122.329048253,47.58878256
2020-035185,12462258768,01/29/2020 06:00:00 AM,,01/29/2020 11:22:07 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,S,O,O1,SODO,15XX BLOCK OF 4TH AVE S,-122.329048253,47.58878256
2020-901397,12460775699,01/27/2020 11:59:00 PM,01/28/2020 01:00:00 AM,01/29/2020 11:14:04 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q2,QUEEN ANNE,13XX BLOCK OF 4TH AVE W,-122.361804774,47.6308944
2020-035298,12465114935,01/29/2020 10:46:00 AM,,01/29/2020 11:04:40 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,D,D2,SLU/CASCADE,8XX BLOCK OF VIRGINIA ST,-122.336165507,47.61605329
2020-035216,12458809173,01/29/2020 08:50:00 AM,01/29/2020 09:05:00 AM,01/29/2020 10:46:53 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,M,M2,SLU/CASCADE,7XX BLOCK OF OLIVE WAY,-122.334616763,47.61382604
2020-035267,12458178672,01/29/2020 10:12:00 AM,01/29/2020 10:15:00 AM,01/29/2020 10:37:52 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,L,L2,NORTHGATE,4XX BLOCK OF NE NORTHGATE WAY,-122.324615158,47.7086028
2020-901396,12456894303,01/27/2020 09:00:00 AM,01/27/2020 05:30:00 PM,01/29/2020 10:24:53 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D1,SLU/CASCADE,22XX BLOCK OF 3RD AVE,-122.344143639,47.61432034
2020-901394,12456669837,01/25/2020 01:20:00 PM,01/26/2020 01:20:00 PM,01/29/2020 10:22:14 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,J,J1,BALLARD NORTH,87XX BLOCK OF 15TH AVE NW,-122.376800685,47.69367379
2020-035052,12458336105,01/29/2020 07:30:00 AM,01/29/2020 07:34:00 AM,01/29/2020 10:19:46 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,E,G,G1,FIRST HILL,5XX BLOCK OF 9TH AVE,-122.324423057,47.60519799
2020-901390,12455900405,01/27/2020 09:00:00 PM,01/28/2020 07:00:00 AM,01/29/2020 10:12:57 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,G,G3,MADRONA/LESCHI,30XX BLOCK OF S IRVING ST,-122.292903698,47.59123749
2020-901389,12455877839,01/27/2020 04:30:00 PM,01/28/2020 01:00:00 PM,01/29/2020 10:12:48 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B1,BALLARD SOUTH,NW 54TH ST / 15TH AVE NW,-122.376215692,47.66789134
2020-901388,12455877675,01/27/2020 08:00:00 AM,01/27/2020 11:00:00 AM,01/29/2020 10:12:40 AM,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,W,D,D2,QUEEN ANNE,21XX BLOCK OF 6TH AVE N,-122.344815143,47.63936189
2020-901392,12455877398,01/28/2020 12:00:00 AM,01/28/2020 06:00:00 AM,01/29/2020 10:12:33 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W2,NORTH ADMIRAL,53XX BLOCK OF SW MANNING ST,-122.401455744,47.57182077
2020-901391,12455851053,01/28/2020 05:30:00 AM,01/28/2020 06:45:00 AM,01/29/2020 10:12:17 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,J,J3,ROOSEVELT/RAVENNA,59XX BLOCK OF W GREEN LAKE WAY N,-122.343686961,47.67152891
2020-034970,12456012464,01/29/2020 06:09:00 AM,,01/29/2020 10:10:22 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,M,M2,DOWNTOWN COMMERCIAL,16XX BLOCK OF 5TH AVE,-122.336938539,47.61216878
2020-035158,12457153434,01/28/2020 04:30:00 PM,01/29/2020 07:30:00 AM,01/29/2020 10:09:01 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,W,W2,MORGAN,42XX BLOCK OF SW JUNEAU ST,-122.386360335,47.5502913
2020-034963,12456104225,01/29/2020 05:40:00 AM,,01/29/2020 10:07:24 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,F,F1,PIGEON POINT,41XX BLOCK OF 23RD AVE SW,-122.362258804,47.56653965
2020-035193,12455375199,01/25/2020 12:00:00 AM,01/28/2020 11:59:00 PM,01/29/2020 10:02:41 AM,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,W,Q,Q1,MAGNOLIA,34XX BLOCK OF GILMAN AVE W,-122.382547742,47.65125414
2020-901386,12455035332,01/22/2020 12:00:00 AM,01/22/2020 03:00:00 AM,01/29/2020 10:02:28 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q1,MAGNOLIA,25XX BLOCK OF THORNDYKE AVE W,-122.384862582,47.64254112
2020-901387,12455018626,11/29/2019 10:25:00 AM,12/01/2019 10:25:00 AM,01/29/2020 10:02:16 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,G,G3,JUDKINS PARK/NORTH BEACON HILL,6XX BLOCK OF 20TH AVE S,-122.306363364,47.5970607
2020-901385,12595761319,01/27/2020 01:01:00 AM,,01/29/2020 09:53:55 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,D,D1,BELLTOWN,1ST AVE / BELL ST,-122.346512951,47.61337517
2020-901384,12454267599,01/25/2020 10:20:00 PM,01/26/2020 12:00:00 AM,01/29/2020 09:53:07 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U2,UNIVERSITY,45XX BLOCK OF ROOSEVELT WAY NE,-122.317451102,47.66219941
2020-901382,12454248379,01/22/2020 12:25:00 PM,01/22/2020 12:25:00 PM,01/29/2020 09:52:50 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,VALLEY ST / WARREN AVE N,-122.354081443,47.62624866
2020-901381,12454234887,01/28/2020 12:05:00 PM,01/28/2020 12:05:00 PM,01/29/2020 09:52:41 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,E,E3,FIRST HILL,10XX BLOCK OF SPRING ST,-122.326346825,47.60981959
2020-901380,12454198694,01/24/2020 10:00:00 PM,01/26/2020 09:00:00 AM,01/29/2020 09:52:33 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W2,HIGH POINT,54XX BLOCK OF 34TH AVE SW,-122.374943779,47.55286517
2020-901383,12454198456,01/24/2020 08:45:00 PM,01/24/2020 11:45:00 PM,01/29/2020 09:52:25 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,K,K1,DOWNTOWN COMMERCIAL,6XX BLOCK OF 1ST AVE,-122.334176844,47.60214897
2020-035013,12454306070,01/28/2020 04:45:00 PM,,01/29/2020 09:39:12 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,F,F2,SOUTH DELRIDGE,92XX BLOCK OF 17TH AVE SW,-122.356479904,47.52011424
2020-901378,12452747040,01/28/2020 08:00:00 AM,01/28/2020 09:00:00 AM,01/29/2020 09:34:47 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q2,QUEEN ANNE,29XX BLOCK OF 3RD AVE W,-122.360739317,47.64633864
2020-035189,12453091676,01/11/2020 12:00:00 PM,01/29/2020 09:39:00 AM,01/29/2020 09:33:45 AM,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,N,N,N1,BITTERLAKE,137XX BLOCK OF 1ST AVE NW,-122.358249806,47.72961987
2020-901377,12452563340,01/28/2020 09:25:00 AM,01/28/2020 09:25:00 AM,01/29/2020 09:33:05 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,J,J3,ROOSEVELT/RAVENNA,NE RAVENNA BLVD / NE 68TH ST,-122.32391191,47.67756433
2020-901376,12452510523,01/29/2020 08:35:00 AM,01/29/2020 08:35:00 AM,01/29/2020 09:32:44 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,Q,Q1,MAGNOLIA,29TH AVE W / W BOSTON ST,-122.394228475,47.63812079
2020-901374,12452510346,01/27/2020 04:30:00 PM,01/27/2020 05:00:00 PM,01/29/2020 09:32:35 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,M,M1,DOWNTOWN COMMERCIAL,1ST AVE / PIKE ST,-122.340013422,47.60882096
2020-901375,12452509889,01/28/2020 08:15:00 AM,01/28/2020 08:15:00 AM,01/29/2020 09:32:26 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,C,C3,CENTRAL AREA/SQUIRE PARK,8XX BLOCK OF 26TH AVE,-122.298850228,47.60951366
2020-901373,12452509514,01/27/2020 08:30:00 PM,01/28/2020 07:45:00 AM,01/29/2020 09:32:16 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B2,FREMONT,47XX BLOCK OF PHINNEY AVE N,-122.353971569,47.6632366
2020-901371,12451646204,01/28/2020 01:30:00 AM,01/28/2020 11:30:00 AM,01/29/2020 09:22:23 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q2,QUEEN ANNE,18XX BLOCK OF 11TH AVE W,-122.371672133,47.6353476
2020-901370,12451632742,04/24/2019 04:30:00 PM,12/24/2019 06:24:00 AM,01/29/2020 09:22:14 AM,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,S,S,S1,SOUTH BEACON HILL,S CLOVERDALE ST / M L KING JR WAY S,-122.279013428,47.52611725
2020-035120,12454460862,01/24/2020 12:00:00 AM,01/29/2020 12:00:00 AM,01/29/2020 09:17:02 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,S,S,S2,BRIGHTON/DUNLAP,70XX BLOCK OF 44TH AVE S,-122.278067349,47.53933802
2020-901369,12450949313,01/25/2020 06:30:00 PM,01/25/2020 08:00:00 PM,01/29/2020 09:14:58 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,G,G1,FIRST HILL,E BARCLAY CT / 13TH AVE,-122.315466047,47.6068322
2020-035073,12449131889,01/28/2020 05:00:00 PM,01/29/2020 07:30:00 AM,01/29/2020 08:50:19 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,B,B1,BALLARD SOUTH,15XX BLOCK OF NW 57TH ST,-122.377548124,47.67017314
2020-034974,12447030559,01/29/2020 06:03:00 AM,,01/29/2020 08:24:42 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R2,CLAREMONT/RAINIER VISTA,38XX BLOCK OF RAINIER AVE S,-122.289921964,47.56888116
2020-035069,12446923744,01/29/2020 05:20:00 AM,01/29/2020 05:30:00 AM,01/29/2020 08:23:10 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,J,J1,GREENWOOD,GREENWOOD AVE N / N 90TH ST,-122.355339494,47.69421686
2020-035021,12444809566,01/29/2020 07:00:00 AM,01/29/2020 07:10:00 AM,01/29/2020 08:08:59 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,S,R,R2,MOUNT BAKER,38XX BLOCK OF RAINIER AVE S,-122.289921964,47.56888116
2020-034890,12450985774,01/29/2020 03:34:00 AM,01/29/2020 03:34:00 AM,01/29/2020 08:05:03 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,S,R,R1,NORTH BEACON HILL,S HOLGATE ST / 15TH AVE S,-122.313362753,47.58636268
2020-901368,12444678280,01/27/2020 05:30:00 PM,01/28/2020 08:00:00 AM,01/29/2020 06:03:55 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B2,BALLARD SOUTH,8XX BLOCK OF NW 51ST ST,-122.367397367,47.66569311
2020-901367,12444677759,01/26/2020 06:45:00 PM,01/28/2020 07:45:00 AM,01/29/2020 06:03:03 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B1,BALLARD SOUTH,15TH AVE NW / NW 57TH ST,-122.376213105,47.67017143
2020-901365,12444677158,01/24/2020 08:00:00 PM,01/26/2020 08:00:00 AM,01/29/2020 06:02:13 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U1,ROOSEVELT/RAVENNA,9XX BLOCK OF NE 72ND ST,-122.318105838,47.68086876
2020-034807,12444535412,01/28/2020 09:00:00 PM,01/28/2020 12:00:00 AM,01/29/2020 01:55:53 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,U,U2,UNIVERSITY,45XX BLOCK OF UNIVERSITY WAY NE,-122.313115709,47.66218058
2020-034803,12444497051,01/29/2020 12:15:00 AM,,01/29/2020 01:06:00 AM,B,SOCIETY,LIQUOR LAW VIOLATIONS,Liquor Law Violations,90G,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,9XX BLOCK OF S JACKSON ST,-122.320331973,47.59918733
2020-034792,12444470268,01/29/2020 12:00:00 AM,01/29/2020 12:00:00 AM,01/29/2020 12:31:27 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,5XX BLOCK OF 6TH AVE S,-122.326365492,47.59793449
2020-034793,12444457357,01/28/2020 06:30:00 PM,01/28/2020 08:56:00 PM,01/29/2020 12:17:32 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,E,E,E2,CAPITOL HILL,E PIKE ST / BOYLSTON AVE,-122.323401481,47.61407001
2020-034675,12444385961,01/28/2020 08:25:00 AM,,01/28/2020 10:58:00 PM,A,PROPERTY,ROBBERY,Robbery,120,W,M,M2,SLU/CASCADE,OLIVE WAY / 5TH AVE,-122.337393601,47.61266535
2020-034598,12444404474,01/28/2020 08:00:00 PM,,01/28/2020 10:42:49 PM,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,6XX BLOCK OF S JACKSON ST,-122.325707861,47.59919177
2020-034461,12444352293,01/28/2020 05:56:00 PM,,01/28/2020 09:55:48 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,E,C,C1,MILLER PARK,5XX BLOCK OF 15TH AVE E,-122.31261506,47.62375649
2020-034666,12444349784,01/28/2020 06:00:00 PM,01/28/2020 06:28:00 PM,01/28/2020 09:54:34 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,M,M3,DOWNTOWN COMMERCIAL,15XX BLOCK OF 6TH AVE,-122.334918446,47.61163943
2020-034473,12442770910,01/28/2020 12:00:00 AM,,01/28/2020 09:51:13 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,L,L2,NORTHGATE,5XX BLOCK OF NE NORTHGATE WAY,-122.321918379,47.70858578
2020-034522,12444361471,01/27/2020 08:00:00 AM,01/28/2020 12:00:00 PM,01/28/2020 09:40:33 PM,A,PROPERTY,COUNTERFEITING/FORGERY,Counterfeiting/Forgery,250,SW,F,F3,HIGHLAND PARK,5XX BLOCK OF SW ROXBURY ST,-122.342238437,47.51728498
2020-034539,12437635828,12/24/2019 12:00:00 PM,01/05/2020 12:00:00 PM,01/28/2020 09:31:02 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SW,W,W3,MORGAN,74XX BLOCK OF CALIFORNIA AVE SW,-122.387306785,47.53641053
2020-034172,12435644036,01/14/2020 12:00:00 AM,01/28/2020 12:00:00 AM,01/28/2020 09:13:01 PM,A,PROPERTY,FRAUD OFFENSES,Wire Fraud,26E,S,O,O1,SODO,24XX BLOCK OF UTAH AVE S,-122.335124811,47.58085339
2020-034559,12431412906,01/17/2020 12:00:00 PM,,01/28/2020 08:47:47 PM,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,N,B,B1,BALLARD SOUTH,17XX BLOCK OF NW 56TH ST,-122.38050518,47.66944627
2020-034516,12431605014,01/28/2020 06:54:00 PM,,01/28/2020 08:40:00 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,L,L2,NORTHGATE,5XX BLOCK OF NE 89TH ST,-122.321674751,47.69312432
2020-034260,12431605006,12/28/2019 12:00:00 AM,01/24/2020 12:00:00 AM,01/28/2020 08:37:50 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,S,S2,BRIGHTON/DUNLAP,65XX BLOCK OF RAINIER AVE S,-122.273741067,47.54381503
2020-034421,12429598505,01/28/2020 05:18:00 PM,,01/28/2020 08:31:52 PM,A,PROPERTY,ROBBERY,Robbery,120,S,S,S1,SOUTH BEACON HILL,30XX BLOCK OF S PORTLAND ST,-122.292106136,47.53307444
2020-034213,12426680138,01/28/2020 02:50:00 PM,01/28/2020 02:58:00 PM,01/28/2020 08:00:56 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,C,C1,CAPITOL HILL,16XX BLOCK OF 14TH AVE,-122.314251704,47.61586644
2020-034418,12421803336,01/28/2020 05:39:00 PM,01/28/2020 05:39:00 PM,01/28/2020 07:23:26 PM,B,PROPERTY,BAD CHECKS,Bad Checks,90A,E,E,E2,FIRST HILL,11XX BLOCK OF E COLUMBIA ST,-122.317113813,47.60922844
2020-034471,12420215251,01/28/2020 12:00:00 AM,,01/28/2020 07:17:46 PM,A,PROPERTY,ROBBERY,Robbery,120,E,E,E1,CAPITOL HILL,E THOMAS ST / HARVARD AVE E,-122.32222486,47.62106633
2020-034492,12420908200,01/28/2020 06:26:00 PM,,01/28/2020 07:10:12 PM,A,PROPERTY,ROBBERY,Robbery,120,E,G,G1,FIRST HILL,1XX BLOCK OF 14TH AVE,-122.314193607,47.60309549
2020-034474,12429553624,01/25/2020 12:00:00 PM,01/25/2020 05:20:00 PM,01/28/2020 06:51:18 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,9XX BLOCK OF S JACKSON ST,-122.320331973,47.59918733
2020-034200,12414526693,11/25/2019 08:00:00 AM,11/25/2019 08:20:00 AM,01/28/2020 06:26:21 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,U,U3,SANDPOINT,48XX BLOCK OF SAND POINT WAY NE,-122.283362769,47.66438257
2020-034308,12412277787,01/27/2020 12:15:00 PM,,01/28/2020 06:07:36 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,C,C3,CENTRAL AREA/SQUIRE PARK,8XX BLOCK OF 27TH AVE,-122.297544901,47.60951125
2020-034297,12411021729,01/28/2020 07:30:00 AM,,01/28/2020 06:02:22 PM,A,PROPERTY,FRAUD OFFENSES,Wire Fraud,26E,N,J,J3,PHINNEY RIDGE,65XX BLOCK OF FRANCIS AVE N,-122.3532998,47.67649213
2020-034222,12519593943,01/28/2020 03:04:00 PM,,01/28/2020 06:00:46 PM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,W,M,M3,DOWNTOWN COMMERCIAL,2XX BLOCK OF PIKE ST,-122.338348304,47.60951744
2020-034378,12410319188,01/28/2020 02:00:00 PM,01/28/2020 02:15:00 PM,01/28/2020 05:58:17 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,B,B2,FREMONT,6XX BLOCK OF N 35TH ST,-122.350545827,47.6506252
2020-034453,12410898523,01/27/2020 12:00:00 AM,01/27/2020 12:00:00 AM,01/28/2020 05:56:27 PM,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,N,L,L2,NORTHGATE,4XX BLOCK OF NE NORTHGATE WAY,-122.324615158,47.7086028
2020-034227,12412385636,01/28/2020 03:05:00 PM,,01/28/2020 05:49:24 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U3,ROOSEVELT/RAVENNA,26XX BLOCK OF NE 46TH ST,-122.298887079,47.66175556
